id	total_votes
2003.12075	16
2003.12077	11
2003.12116	11
2003.11557	9
2003.12589	9
2003.13879	9
2003.10114	8
2003.10420	8
2002.12382	7
2003.09697	7
2001.09149	7
2003.12646	7
2003.11558	7
2003.07387	7
2001.05519	6
2003.12577	6
2003.11831	6
2003.14327	6
2003.12580	6
2003.08395	6
2003.13283	5
2003.10453	5
2003.12297	5
2003.11499	5
2003.08618	5
2003.11549	5
2003.06427	5
2003.12083	5
2003.13691	5
2009.03341	5
2003.11980	5
2009.07274	4
2007.11417	4
2003.06090	4
2006.13233	4
2006.14633	4
2004.14011	4
2002.04035	4
2007.09059	4
2006.01356	4
2006.03063	4
2004.00934	4
2004.13731	4
2006.10450	4
2004.01342	4
1912.05491	4
2008.12290	4
1906.05371	4
2004.02486	4
2007.07149	4
2008.09605	4
2007.08215	4
2008.02827	4
2009.03828	4
2006.01194	4
2008.09223	4
2008.11283	4
2005.07215	4
2007.08514	4
2003.08399	4
2008.12303	4
2004.09518	4
2008.06107	4
2007.03122	4
2007.11015	4
2005.00279	4
2007.03702	4
2008.10757	4
2004.03135	4
2004.00617	4
2007.06155	4
2004.06570	4
2005.08428	4
2006.11957	4
2009.02135	4
2004.07834	4
2009.02036	4
2008.07505	4
2004.03668	4
2009.05573	4
2003.13696	4
2009.07266	4
2006.08638	4
1911.13090	4
2004.14349	4
2006.10770	4
2004.14394	4
2007.12292	4
2005.14200	4
2005.09149	4
2006.11172	4
2005.01668	4
2008.10623	4
2005.03170	4
2006.10744	4
2008.12302	4
2006.06836	4
2006.08834	4
2008.09582	4
2009.00644	4
2006.06697	4
2008.10612	4
2008.04942	4
2003.10077	4
2005.10656	66
2007.00555	61
2007.10716	51
2009.04471	45
2006.11235	42
2004.09515	41
2008.12783	39
2009.07282	38
2004.10207	38
2007.08991	36
2004.06245	36
2004.01139	33
2008.08084	30
2009.02576	30
2004.07240	30
2009.01241	30
2007.04007	29
2005.13161	27
2004.01188	27
2006.09721	27
2008.11207	26
2007.02865	25
2008.08582	24
2004.06707	24
2009.09004	24
2009.04496	23
2004.02937	23
2008.00022	23
2007.07288	23
2005.14351	23
2004.04833	22
2006.11287	22
2008.02805	22
2007.12607	22
2006.08561	21
2006.06706	21
2006.06298	21
2009.10726	21
2006.13685	21
2004.07263	20
2009.05341	20
2009.01213	20
2004.03201	20
2008.05479	20
1905.03601	20
2006.14122	20
2004.06619	20
2008.07754	19
2009.11935	19
2009.02405	19
2007.15632	19
2004.11396	19
2008.12312	19
2009.04368	19
2009.07281	18
2007.15994	18
2005.09227	18
2009.03346	18
2005.12933	18
2009.08550	18
2009.08268	18
2007.02941	18
2004.04808	18
2009.01728	18
2005.05146	18
2004.02893	17
2006.09729	17
2009.08459	17
2006.07325	17
2005.03050	17
2009.08383	17
2009.06882	17
2006.04995	17
2004.06114	17
2009.08455	17
2005.04207	17
2005.10384	16
2009.01976	16
2007.00082	16
2009.10727	16
2005.04325	16
2008.07568	16
2004.02927	16
2006.06594	16
2009.06931	16
2008.08077	16
2004.07811	16
2009.11344	16
2008.05490	16
2004.08736	16
2008.02192	16
2006.03412	15
2008.00012	15
2006.01697	15
2009.10578	15
2009.05581	15
2004.07187	15
2004.05271	15
2006.12420	15
2009.02434	15
2006.10857	15
2009.00649	15
2009.08970	15
2006.01161	15
2009.11779	15
2005.09574	15
2008.02282	15
2006.09395	15
2007.12795	15
2009.07275	15
2007.00704	15
2007.07895	14
2008.08594	14
2007.12705	14
2006.14650	14
2009.07292	14
2009.07192	14
2009.06777	14
2007.05659	14
2004.09487	14
2004.10206	14
2009.10688	14
2009.11295	14
2007.12178	14
2004.09587	14
2005.02445	14
2005.14677	14
2009.03313	14
2008.06060	14
2009.00617	14
2006.16149	14
2004.13736	14
2005.12928	14
2004.01621	14
2004.11507	14
2009.10091	13
2004.03872	13
2008.09121	13
2004.10607	13
2009.03927	13
2006.14961	13
2008.09995	13
2004.00618	13
2005.00055	13
2004.00011	13
2009.00635	13
2006.03138	13
2008.09901	13
2009.01842	13
2005.07206	13
2009.03311	13
2005.03431	13
