id	total_votes
2009.04471	42
2008.12783	39
2009.01241	31
2009.02576	30
2009.07282	29
2008.11207	26
2009.04496	22
2009.01213	20
2009.05341	19
2008.12312	19
2009.04368	18
2009.01728	18
2009.02405	17
2009.03346	17
2009.01976	16
2009.00649	16
2009.02434	15
2008.08084	15
2009.06882	15
2009.05581	15
2009.00617	14
2009.03313	14
2009.08455	14
2009.07281	14
2009.08459	14
2008.09780	13
2008.09571	13
2008.09121	13
2008.08582	13
2009.03927	13
2009.03311	13
2009.04849	13
2009.07292	13
2009.01842	13
2009.00635	13
2009.01844	13
2008.09901	13
2009.07192	12
2009.08743	12
2009.08550	12
2008.11210	12
2009.00020	12
2009.00616	12
2009.03286	12
2009.08383	12
2008.09995	12
2009.03083	12
2009.03912	12
2009.01251	12
2009.08268	12
2009.07275	12
2009.06931	12
2008.10743	11
2009.03886	11
2009.05077	11
2009.03936	11
2009.04838	11
2009.03916	11
2009.02328	11
2009.00622	11
2009.01858	11
2008.11205	11
2009.08970	11
2009.02177	10
2009.01935	10
2007.10716	10
2009.00663	10
2009.00628	10
2008.09124	10
2009.05047	10
2009.05557	10
2009.01852	10
2009.05063	10
2008.08594	10
2008.12648	9
2008.09615	9
2009.03287	9
2008.07754	9
2009.02335	9
2008.09127	9
2009.04555	9
2008.10199	9
2009.03340	9
2009.03953	9
2008.11286	9
2009.03324	9
2008.12794	9
2008.09588	9
2009.06777	9
2009.08224	9
2008.11663	9
2009.07859	9
2009.01952	9
2009.00010	9
2009.05558	9
2009.02357	9
2009.01261	8
2008.08486	8
2009.07295	8
2009.01775	8
2009.02342	8
2008.08591	8
2009.00667	8
2009.04487	8
2009.08718	8
2008.12317	8
2009.00407	8
2008.11394	8
2008.12484	8
2009.01277	8
2009.05227	8
2009.00645	8
2009.05049	8
2009.00613	8
2009.03920	8
2009.02308	8
2009.01855	8
2008.09746	8
2007.02865	7
2009.00529	7
2009.05548	7
2009.00016	7
2009.03176	7
2008.12320	7
2008.13653	7
2009.05065	7
2008.13259	7
2009.06646	7
2008.10033	7
2009.02277	7
2008.13379	7
2008.08077	7
2008.11285	7
2009.07835	7
2009.01823	7
2009.05070	7
2009.04495	7
2008.12265	7
2009.03354	7
2009.05467	7
2008.12349	7
2009.02974	7
2009.01856	7
2009.00962	7
2009.06643	7
2009.03329	6
2009.01268	6
2009.03353	6
2008.13624	6
2009.08473	6
2008.13704	6
2009.01389	6
2009.02579	6
2009.05249	6
2009.07285	6
2009.04444	6
2009.08212	6
2009.00424	6
2007.05735	6
2009.01792	6
2007.13751	6
2009.00276	6
2009.07861	6
2009.06555	6
2009.06760	6
2008.08203	6
2009.01817	6
2008.09557	6
2009.07832	6
2009.04201	6
2009.08730	6
2008.12271	6
2006.13685	6
2009.02321	6
2008.12619	6
2009.04819	6
2009.04348	6
2009.06547	6
2009.05584	6
2009.03308	6
2008.09157	6
2009.06647	6
2008.13215	6
2008.11195	6
2009.08483	6
2009.05499	5
2009.07852	5
2008.08831	5
2009.04751	5
2009.00562	5
2008.11688	5
2009.07858	5
2009.07023	5
2009.02424	5
2009.05804	5
2009.04290	5
2009.03256	5
2008.12790	5
2009.07283	5
2009.00383	5
2008.13052	5
2009.06922	5
2008.12787	5
2009.07846	5
2009.06084	5
2007.14335	5
2009.03350	5
2009.04914	5
2009.08468	5
2009.05614	5
2009.03901	5
2008.12345	5
2009.02343	5
2006.08764	5
2009.08159	5
2008.08602	5
2009.03341	5
2009.03090	5
2008.11723	5
2008.11287	5
2009.06663	5
2009.04453	5
2009.08470	5
2009.03900	5
2008.10821	5
2009.02368	5
2009.08458	5
2008.10218	5
2008.10410	5
2009.03323	5
2009.07813	5
2009.06438	5
2008.10668	5
2009.05583	5
2009.08740	4
2008.13135	4
2009.04482	4
2008.09605	4
2008.13131	4
2009.09004	4
2008.13418	4
2008.12309	4
2009.06622	4
2008.08706	4
2009.00037	4
2009.05506	4
2009.00674	4
2008.10662	4
2008.12102	4
2008.09223	4
2009.03828	4
2009.00644	4
2008.12068	4
2008.10637	4
2009.00610	4
2009.08611	4
2009.01335	4
2008.10757	4
2008.09130	4
2009.01259	4
2008.12290	4
2009.07186	4
2008.11283	4
2009.08078	4
2009.00024	4
2008.06060	4
2009.06607	4
2008.12303	4
2008.10623	4
1006.2470	4
2009.01248	4
2009.07357	4
2008.12731	4
2008.09630	4
2009.07591	4
2009.06639	4
2008.09257	4
2009.07274	4
2009.01080	4
2008.12302	4
2009.03374	4
2008.12817	4
2008.13154	4
2008.13100	4
2008.09700	4
2009.03093	4
2008.06505	4
2009.07278	4
2006.13410	4
2008.09584	4
2007.13722	4
2009.05209	4
2009.06585	4
2009.05059	4
2008.11131	4
2008.09271	4
2009.07394	4
2009.01929	4
2009.00367	4
2009.00021	4
2009.07266	4
2009.05573	4
2008.10612	4
2009.02290	4
2009.03309	4
2008.09582	4
2009.02036	4
2009.00013	4
2009.02284	4
2009.08742	4
2009.02135	4
2009.01720	4
2009.00431	4
2009.01245	4
2009.03438	4
2008.10613	4
2008.09123	4
2008.10266	4
2009.00006	3
2009.04696	3
2009.06645	3
2008.08954	3
2007.00082	3
2009.01881	3
2009.07772	3
2008.08560	3
2008.00022	3
2009.08465	3
2008.10207	3
2008.09602	3
2007.02941	3
2009.05442	3
2008.10776	3
2009.08464	3
2007.08472	3
2009.07857	3
2008.13635	3
2008.12741	3
2008.11724	3
2008.07530	3
2009.06631	3
2007.09484	3
2009.05517	3
2008.09096	3
2009.00126	3
2009.05154	3
2008.11134	3
2007.12705	3
2009.08537	3
2009.03911	3
2008.12661	3
2008.11686	3
2009.00861	3
2008.12361	3
2007.12607	3
2009.05143	3
2009.00846	3
2009.05052	3
2008.11336	3
2009.01330	3
2008.11188	3
2008.10445	3
2008.09302	3
2008.09804	3
2008.10237	3
2008.13175	3
2008.11890	3
2009.06393	3
2009.06099	3
2009.03240	3
2009.03571	3
2008.12101	3
2009.04310	3
2009.05466	3
2009.03926	3
2008.13169	3
2007.16153	3
2009.01112	3
2009.01079	3
2009.09220	3
2009.04768	3
2008.10499	3
2009.05136	3
2009.02339	3
2005.12933	3
2008.10646	3
2009.01320	3
2009.06648	3
2007.14988	3
2008.10663	3
2008.11162	3
2009.05123	3
2008.10686	3
2008.07420	3
2007.00667	3
2009.01825	3
2008.10951	3
2008.08590	3
2008.09255	3
2009.08822	3
2009.01888	3
2009.05915	3
2008.09118	3
2008.08627	3
2008.09613	3
2006.13231	3
2009.08446	3
2008.12821	3
2008.06264	3
2009.05676	3
2009.06652	3
2008.12793	3
2008.13743	3
2008.02639	3
2008.12772	3
2008.11284	3
2009.03800	3
2008.09826	3
2008.13687	3
2009.03899	3
2006.11235	3
2008.11132	3
2009.07784	3
2008.08092	3
2008.08106	3
2009.08247	3
2009.00547	3
2009.08336	3
2009.04355	3
2008.09621	3
2009.06638	3
2008.12931	3
2008.12947	3
2008.01731	3
2009.00733	3
2009.05672	3
2008.10973	3
2008.13502	3
2001.11044	3
2009.06333	2
2009.07814	2
2009.02086	2
2009.09784	2
2009.01958	2
2009.08463	2
2009.04109	2
2007.15097	2
2009.06634	2
2008.08518	2
2008.09683	2
2009.07586	2
2009.08350	2
2009.04973	2
2008.12799	2
1904.01030	2
2009.00009	2
2009.00639	2
2009.03906	2
2008.08842	2
2009.03144	2
2008.11172	2
2006.10094	2
2008.10676	2
2009.00730	2
2008.09625	2
2008.10393	2
2007.14499	2
2008.02282	2
2006.06013	2
2009.00807	2
2008.09766	2
2009.00940	2
2008.11859	2
2009.02333	2
2005.12352	2
2009.08579	2
2009.00101	2
2009.00151	2
2007.05659	2
2009.06074	2
2006.01326	2
2008.08723	2
2008.10359	2
2008.11949	2
2007.06529	2
2007.15967	2
1712.07575	2
2009.01500	2
2009.00356	2
2009.04688	2
2008.12587	2
2007.15994	2
2008.11538	2
1807.02120	2
2009.01723	2
2008.09126	2
2009.01238	2
2008.09125	2
2008.12125	2
2006.06594	2
2008.12439	2
2008.09242	2
2008.11732	2
2008.06514	2
2006.14633	2
2007.00555	2
1308.4663	2
2008.12129	2
2009.07796	2
2008.08378	2
1210.8201	2
2005.04207	2
2005.13972	2
2008.13733	2
2008.10476	2
2006.09742	2
2009.03985	2
2008.11577	2
2009.04676	2
2009.02766	2
2007.03423	2
2009.06895	2
2009.07653	2
2009.04480	2
2008.11435	2
2008.09671	2
2007.06508	2
2008.09120	2
2008.03320	2
2009.01203	2
2006.15148	2
2003.10454	2
2006.13225	2
2009.08534	2
2002.08386	2
2008.08090	2
2009.03444	2
2009.00137	2
1612.05703	2
