order	id	date
-99	1701.00221	1 January 2017
-99	1701.00250	1 January 2017
-99	1701.00256	1 January 2017
-99	1701.00271	1 January 2017
-99	1701.00274	1 January 2017
-99	1701.00288	1 January 2017
-99	1701.00292	1 January 2017
-99	1701.00303	1 January 2017
-99	1701.00308	1 January 2017
-99	1701.00312	1 January 2017
-99	1701.00315	1 January 2017
-99	1701.00318	1 January 2017
-99	1701.00336	1 January 2017
-99	1701.00357	1 January 2017
-99	1701.00364	1 January 2017
-99	1701.00366	1 January 2017
-99	1701.00367	1 January 2017
-99	1701.00372	1 January 2017
-99	1701.00415	1 January 2017
-99	1701.00421	1 January 2017
-99	1701.00434	1 January 2017
-99	1701.00437	1 January 2017
-99	1701.00458	1 January 2017
-99	1701.00471	1 January 2017
-99	1701.00472	1 January 2017
-99	1701.00475	1 January 2017
-99	1701.00478	1 January 2017
-99	1701.00482	1 January 2017
-99	1701.00484	1 January 2017
-99	1701.00489	1 January 2017
-99	1701.00490	1 January 2017
-99	1701.00493	1 January 2017
-99	1701.00497	1 January 2017
-99	1701.00502	1 January 2017
-99	1701.00526	1 January 2017
-99	1701.00556	1 January 2017
-99	1701.00577	1 January 2017
-99	1701.00581	1 January 2017
-99	1701.00586	1 January 2017
-99	1701.00588	1 January 2017
-99	1701.00590	1 January 2017
-99	1701.00615	1 January 2017
-99	1701.00619	1 January 2017
-99	1701.00654	1 January 2017
-99	1701.00657	1 January 2017
-99	1701.00680	1 January 2017
-99	1701.00683	1 January 2017
-99	1701.00685	1 January 2017
-99	1701.00690	1 January 2017
-99	1701.00701	1 January 2017
-99	1701.00708	1 January 2017
-99	1701.00724	1 January 2017
-99	1701.00733	1 January 2017
-99	1701.00739	1 January 2017
-99	1701.00741	1 January 2017
-99	1701.00746	1 January 2017
-99	1701.00750	1 January 2017
-99	1701.00751	1 January 2017
-99	1701.00759	1 January 2017
-99	1701.00769	1 January 2017
-99	1701.00782	1 January 2017
-99	1701.00791	1 January 2017
-99	1701.00792	1 January 2017
-99	1701.00795	1 January 2017
-99	1701.00803	1 January 2017
-99	1701.00814	1 January 2017
-99	1701.00818	1 January 2017
-99	1701.00820	1 January 2017
-99	1701.00828	1 January 2017
-99	1701.00835	1 January 2017
-99	1701.00836	1 January 2017
-99	1701.00843	1 January 2017
-99	1701.00844	1 January 2017
-99	1701.00855	1 January 2017
-99	1701.00862	1 January 2017
-99	1701.00865	1 January 2017
-99	1701.00866	1 January 2017
-99	1701.00884	1 January 2017
-99	1701.00885	1 January 2017
-99	1701.00887	1 January 2017
-99	1701.00890	1 January 2017
-99	1701.00891	1 January 2017
-99	1701.00895	1 January 2017
-99	1701.00899	1 January 2017
-99	1701.00911	1 January 2017
-99	1701.00912	1 January 2017
-99	1701.00917	1 January 2017
-99	1701.00919	1 January 2017
-99	1701.00922	1 January 2017
-99	1701.00937	1 January 2017
-99	1701.00941	1 January 2017
-99	1701.00943	1 January 2017
-99	1701.00956	1 January 2017
-99	1701.00957	1 January 2017
-99	1701.00961	1 January 2017
-99	1701.00962	1 January 2017
-99	1701.00965	1 January 2017
-99	1701.00967	1 January 2017
-99	1701.00975	1 January 2017
-99	1701.00979	1 January 2017
-99	1701.00983	1 January 2017
-99	1701.00990	1 January 2017
-99	1701.01011	1 January 2017
-99	1701.01034	1 January 2017
-99	1701.01056	1 January 2017
-99	1701.01067	1 January 2017
-99	1701.01069	1 January 2017
-99	1701.01082	1 January 2017
-99	1701.01098	1 January 2017
-99	1701.01099	1 January 2017
-99	1701.01100	1 January 2017
-99	1701.01102	1 January 2017
-99	1701.01109	1 January 2017
-99	1701.01113	1 January 2017
-99	1701.01114	1 January 2017
-99	1701.01115	1 January 2017
-99	1701.01117	1 January 2017
-99	1701.01120	1 January 2017
-99	1701.01121	1 January 2017
-99	1701.01122	1 January 2017
-99	1701.01124	1 January 2017
-99	1701.01130	1 January 2017
