cast_date	cast_time
05/21/2020	9:27pm
05/21/2020	9:51pm
05/21/2020	10:03pm
05/21/2020	10:07pm
05/21/2020	10:26pm
05/21/2020	10:48pm
05/22/2020	12:08am
05/22/2020	12:43am
05/22/2020	2:33am
05/22/2020	2:35am
05/22/2020	2:58am
05/22/2020	2:58am
05/22/2020	3:01am
05/22/2020	3:43am
05/22/2020	8:18am
05/22/2020	8:32am
05/22/2020	8:41am
05/22/2020	11:51am
05/22/2020	11:52am
05/22/2020	12:10pm
05/22/2020	2:01pm
05/22/2020	2:12pm
05/22/2020	3:59pm
05/23/2020	4:13am
05/23/2020	1:32pm
05/23/2020	1:51pm
05/24/2020	5:48am
05/24/2020	9:39pm
05/25/2020	2:31am
05/25/2020	2:44pm
05/27/2020	9:59am
