cast_date	cast_time
05/17/2020	8:14pm
05/18/2020	3:39am
05/18/2020	4:00am
05/18/2020	4:09am
05/18/2020	4:14am
05/18/2020	6:51am
05/18/2020	8:53am
05/18/2020	9:25am
05/18/2020	9:36am
05/18/2020	9:43am
05/18/2020	10:01am
05/18/2020	11:54am
05/18/2020	12:16pm
05/18/2020	1:00pm
05/18/2020	3:42pm
05/18/2020	3:51pm
05/19/2020	3:33am
05/19/2020	4:00am
05/19/2020	10:19am
05/19/2020	10:23am
05/19/2020	1:11pm
05/19/2020	1:32pm
05/19/2020	4:21pm
05/19/2020	6:31pm
05/19/2020	10:03pm
05/20/2020	3:38am
05/20/2020	9:44am
05/20/2020	12:57pm
05/20/2020	2:08pm
05/21/2020	3:49am
05/22/2020	9:03am
05/24/2020	3:36pm
05/27/2020	4:29am
