cast_date	cast_time
07/12/2020	8:36pm
07/13/2020	1:36am
07/13/2020	1:51am
07/13/2020	2:02am
07/13/2020	2:15am
07/13/2020	3:47am
07/13/2020	4:22am
07/13/2020	4:31am
07/13/2020	4:31am
07/13/2020	6:16am
07/13/2020	6:37am
07/13/2020	7:00am
07/13/2020	7:23am
07/13/2020	8:23am
07/13/2020	9:21am
07/13/2020	9:59am
07/13/2020	10:29am
07/13/2020	11:26am
07/13/2020	12:28pm
07/13/2020	4:09pm
07/13/2020	7:04pm
07/13/2020	7:16pm
07/13/2020	8:33pm
07/14/2020	1:29am
07/14/2020	6:36am
07/14/2020	7:23am
07/14/2020	11:28am
07/14/2020	12:40pm
07/14/2020	6:27pm
07/14/2020	11:33pm
07/15/2020	5:19am
07/16/2020	5:10am
07/16/2020	3:02pm
07/16/2020	10:59pm
07/16/2020	10:59pm
07/16/2020	10:59pm
07/16/2020	10:59pm
07/17/2020	2:20am
07/17/2020	2:04pm
07/17/2020	4:52pm
07/19/2020	7:22pm
07/22/2020	12:09pm
