cast_date	cast_time
05/20/2020	8:15pm
05/20/2020	9:57pm
05/21/2020	12:31am
05/21/2020	1:28am
05/21/2020	1:53am
05/21/2020	3:02am
05/21/2020	3:05am
05/21/2020	3:47am
05/21/2020	4:07am
05/21/2020	5:02am
05/21/2020	6:41am
05/21/2020	7:23am
05/21/2020	7:39am
05/21/2020	8:58am
05/21/2020	9:54am
05/21/2020	9:59am
05/21/2020	10:21am
05/21/2020	1:08pm
05/21/2020	1:40pm
05/21/2020	1:56pm
05/21/2020	2:15pm
05/21/2020	2:22pm
05/21/2020	2:54pm
05/21/2020	4:34pm
05/21/2020	8:41pm
05/25/2020	5:11am
05/25/2020	12:10pm
05/28/2020	1:59pm
