cast_date	cast_time
06/25/2020	8:09pm
06/26/2020	1:15am
06/26/2020	1:27am
06/26/2020	2:13am
06/26/2020	2:16am
06/26/2020	2:21am
06/26/2020	2:59am
06/26/2020	3:29am
06/26/2020	5:39am
06/26/2020	5:50am
06/26/2020	6:10am
06/26/2020	6:13am
06/26/2020	6:34am
06/26/2020	6:37am
06/26/2020	7:00am
06/26/2020	8:04am
06/26/2020	8:11am
06/26/2020	8:29am
06/26/2020	10:20am
06/26/2020	10:33am
06/26/2020	11:16am
06/26/2020	12:23pm
06/26/2020	1:39pm
06/26/2020	4:27pm
06/26/2020	5:50pm
06/26/2020	7:39pm
06/27/2020	5:30am
06/27/2020	4:35pm
06/28/2020	2:26pm
06/28/2020	2:57pm
06/28/2020	7:59pm
06/28/2020	8:36pm
06/29/2020	1:58am
06/29/2020	4:24am
06/29/2020	5:28am
06/29/2020	5:29am
06/29/2020	5:40am
06/29/2020	6:56am
06/30/2020	3:51am
07/02/2020	10:59pm
07/03/2020	9:44am
07/10/2020	1:59pm
