cast_date	cast_time
05/25/2020	8:26pm
05/26/2020	12:34am
05/26/2020	2:47am
05/26/2020	2:55am
05/26/2020	4:28am
05/26/2020	5:30am
05/26/2020	8:26am
05/26/2020	9:45am
05/26/2020	10:43am
05/26/2020	1:38pm
05/26/2020	2:00pm
05/26/2020	3:25pm
05/26/2020	5:00pm
05/26/2020	6:49pm
05/26/2020	8:31pm
05/26/2020	9:37pm
05/27/2020	7:26am
05/28/2020	8:38am
05/28/2020	10:12am
05/28/2020	4:44pm
05/28/2020	9:06pm
05/29/2020	4:01am
05/29/2020	9:24am
05/29/2020	10:05am
05/29/2020	10:37am
05/31/2020	9:23pm
06/01/2020	8:05pm
