cast_date	cast_time
05/26/2020	8:09pm
05/26/2020	8:32pm
05/27/2020	2:27am
05/27/2020	2:44am
05/27/2020	2:50am
05/27/2020	3:14am
05/27/2020	3:59am
05/27/2020	4:02am
05/27/2020	4:07am
05/27/2020	4:08am
05/27/2020	4:21am
05/27/2020	5:11am
05/27/2020	5:17am
05/27/2020	6:43am
05/27/2020	7:01am
05/27/2020	7:28am
05/27/2020	9:16am
05/27/2020	11:00am
05/27/2020	11:28am
05/27/2020	1:31pm
05/27/2020	6:15pm
05/28/2020	3:32am
05/28/2020	8:37am
06/01/2020	7:24pm
06/05/2020	12:15am
06/08/2020	3:02am
06/08/2020	4:40am
