cast_date	cast_time
07/23/2020	8:20pm
07/23/2020	11:30pm
07/23/2020	11:56pm
07/24/2020	2:00am
07/24/2020	2:05am
07/24/2020	2:45am
07/24/2020	4:00am
07/24/2020	4:32am
07/24/2020	4:41am
07/24/2020	5:00am
07/24/2020	6:53am
07/24/2020	7:15am
07/24/2020	8:54am
07/24/2020	11:45am
07/24/2020	1:20pm
07/24/2020	8:03pm
07/25/2020	3:27am
07/25/2020	4:27am
07/25/2020	1:04pm
07/25/2020	1:53pm
07/26/2020	11:20am
07/26/2020	11:37pm
07/27/2020	1:08am
07/27/2020	9:09am
07/29/2020	3:42am
07/29/2020	4:29am
07/30/2020	12:56am
07/30/2020	10:59pm
