cast_date	cast_time
06/25/2020	8:10pm
06/25/2020	8:24pm
06/26/2020	1:27am
06/26/2020	2:17am
06/26/2020	2:29am
06/26/2020	3:29am
06/26/2020	3:40am
06/26/2020	4:13am
06/26/2020	4:54am
06/26/2020	5:09am
06/26/2020	5:50am
06/26/2020	6:10am
06/26/2020	6:42am
06/26/2020	7:00am
06/26/2020	8:04am
06/26/2020	8:29am
06/26/2020	9:33am
06/26/2020	4:28pm
06/26/2020	7:39pm
06/27/2020	1:35pm
06/28/2020	2:26pm
06/28/2020	2:57pm
06/28/2020	9:15pm
06/29/2020	4:50am
06/29/2020	6:54am
06/29/2020	9:18am
06/29/2020	3:21pm
06/30/2020	4:27am
07/01/2020	4:43am
07/02/2020	8:36am
07/03/2020	9:44am
07/06/2020	10:37am
