cast_date	cast_time
06/04/2020	8:22pm
06/05/2020	12:30am
06/05/2020	2:15am
06/05/2020	2:30am
06/05/2020	2:34am
06/05/2020	2:39am
06/05/2020	2:54am
06/05/2020	3:24am
06/05/2020	3:29am
06/05/2020	3:50am
06/05/2020	4:24am
06/05/2020	5:31am
06/05/2020	6:18am
06/05/2020	7:06am
06/05/2020	8:34am
06/05/2020	8:40am
06/05/2020	9:50am
06/05/2020	10:20am
06/05/2020	10:24am
06/05/2020	11:54am
06/05/2020	12:01pm
06/05/2020	1:09pm
06/05/2020	3:15pm
06/05/2020	3:29pm
06/06/2020	3:51am
06/06/2020	3:56am
06/08/2020	2:18am
06/08/2020	2:33am
06/08/2020	4:31am
06/08/2020	5:04am
06/08/2020	10:18am
06/08/2020	11:43am
06/09/2020	4:35am
06/09/2020	6:09am
06/09/2020	8:29am
06/09/2020	11:54am
06/10/2020	3:53am
06/10/2020	5:52am
06/10/2020	7:54am
06/11/2020	4:31am
06/17/2020	4:29am
