cast_date	cast_time
06/24/2020	9:13pm
06/24/2020	11:02pm
06/24/2020	11:41pm
06/25/2020	12:34am
06/25/2020	1:11am
06/25/2020	1:17am
06/25/2020	1:21am
06/25/2020	1:22am
06/25/2020	1:36am
06/25/2020	2:08am
06/25/2020	3:13am
06/25/2020	3:50am
06/25/2020	4:17am
06/25/2020	4:44am
06/25/2020	5:15am
06/25/2020	6:28am
06/25/2020	6:31am
06/25/2020	9:41am
06/25/2020	10:14am
06/25/2020	10:31am
06/25/2020	10:49am
06/25/2020	11:09am
06/25/2020	11:43am
06/25/2020	4:14pm
06/25/2020	5:23pm
06/25/2020	6:16pm
06/26/2020	2:55am
06/28/2020	10:35pm
06/30/2020	3:09am
06/30/2020	9:20am
07/02/2020	10:59pm
07/02/2020	10:59pm
