cast_date	cast_time
06/17/2020	8:17pm
06/17/2020	8:39pm
06/17/2020	9:11pm
06/18/2020	1:15am
06/18/2020	1:17am
06/18/2020	1:42am
06/18/2020	2:06am
06/18/2020	4:06am
06/18/2020	4:38am
06/18/2020	4:43am
06/18/2020	5:43am
06/18/2020	7:05am
06/18/2020	7:37am
06/18/2020	8:24am
06/18/2020	8:38am
06/18/2020	10:53am
06/18/2020	12:12pm
06/18/2020	12:26pm
06/18/2020	1:02pm
06/18/2020	2:14pm
06/18/2020	3:02pm
06/19/2020	3:20am
06/19/2020	5:00am
06/19/2020	7:22am
06/19/2020	6:02pm
06/20/2020	3:04am
06/23/2020	6:57pm
06/23/2020	10:07pm
06/24/2020	9:19am
06/26/2020	8:18am
