cast_date	cast_time
06/08/2020	8:35pm
06/08/2020	10:40pm
06/09/2020	1:41am
06/09/2020	1:41am
06/09/2020	2:12am
06/09/2020	2:56am
06/09/2020	2:59am
06/09/2020	3:30am
06/09/2020	3:49am
06/09/2020	4:11am
06/09/2020	4:38am
06/09/2020	5:27am
06/09/2020	6:07am
06/09/2020	6:38am
06/09/2020	8:26am
06/09/2020	9:19am
06/09/2020	10:18am
06/09/2020	10:54am
06/09/2020	11:41am
06/09/2020	11:58am
06/09/2020	12:25pm
06/09/2020	12:34pm
06/09/2020	7:58pm
06/10/2020	3:01am
06/10/2020	4:35am
06/10/2020	5:53am
06/10/2020	5:55am
06/10/2020	4:29pm
06/10/2020	6:09pm
06/11/2020	8:49am
06/11/2020	10:40am
06/11/2020	12:23pm
06/12/2020	8:47am
06/12/2020	2:15pm
06/13/2020	8:21pm
06/14/2020	4:30pm
06/18/2020	10:59am
06/22/2020	4:10am
