cast_date	cast_time
02/10/2020	8:44pm
02/10/2020	8:47pm
02/10/2020	10:17pm
02/11/2020	12:37am
02/11/2020	1:19am
02/11/2020	2:25am
02/11/2020	3:11am
02/11/2020	3:11am
02/11/2020	3:38am
02/11/2020	4:37am
02/11/2020	6:06am
02/11/2020	8:16am
02/11/2020	8:52am
02/11/2020	9:10am
02/11/2020	9:35am
02/11/2020	10:03am
02/11/2020	10:15am
02/11/2020	10:29am
02/11/2020	11:06am
02/11/2020	12:16pm
02/11/2020	4:13pm
02/12/2020	3:23am
02/12/2020	12:46pm
02/14/2020	11:24am
02/17/2020	7:14am
02/19/2020	10:47am
02/26/2020	8:29am
02/28/2020	8:45am
03/10/2020	8:09pm
03/13/2020	3:28pm
