cast_date	cast_time
07/16/2020	8:12pm
07/16/2020	9:03pm
07/16/2020	11:07pm
07/16/2020	11:09pm
07/16/2020	11:24pm
07/17/2020	2:02am
07/17/2020	2:18am
07/17/2020	2:41am
07/17/2020	3:24am
07/17/2020	3:30am
07/17/2020	3:32am
07/17/2020	3:49am
07/17/2020	4:00am
07/17/2020	4:56am
07/17/2020	6:13am
07/17/2020	6:29am
07/17/2020	6:29am
07/17/2020	6:37am
07/17/2020	8:19am
07/17/2020	9:47am
07/17/2020	10:20am
07/17/2020	10:59am
07/17/2020	11:12am
07/17/2020	11:22am
07/17/2020	11:42am
07/17/2020	12:05pm
07/17/2020	12:09pm
07/17/2020	12:43pm
07/17/2020	2:50pm
07/17/2020	4:12pm
07/17/2020	5:14pm
07/18/2020	2:51am
07/18/2020	9:28am
07/18/2020	11:34am
07/18/2020	5:50pm
07/18/2020	7:02pm
07/18/2020	10:54pm
07/19/2020	2:45pm
07/19/2020	4:52pm
07/20/2020	2:19am
07/20/2020	4:49am
07/20/2020	9:18am
07/20/2020	9:59am
07/20/2020	9:59am
07/20/2020	10:11am
07/20/2020	12:49pm
07/21/2020	9:59am
07/22/2020	9:59am
07/30/2020	11:19pm
