cast_date	cast_time
07/07/2020	8:24pm
07/07/2020	8:44pm
07/07/2020	9:12pm
07/08/2020	1:00am
07/08/2020	2:30am
07/08/2020	3:08am
07/08/2020	3:29am
07/08/2020	3:31am
07/08/2020	4:28am
07/08/2020	4:49am
07/08/2020	5:00am
07/08/2020	5:02am
07/08/2020	5:07am
07/08/2020	6:16am
07/08/2020	6:54am
07/08/2020	7:14am
07/08/2020	7:23am
07/08/2020	7:45am
07/08/2020	8:47am
07/08/2020	9:15am
07/08/2020	9:33am
07/08/2020	9:41am
07/08/2020	12:23pm
07/08/2020	12:33pm
07/08/2020	1:08pm
07/08/2020	2:21pm
07/08/2020	3:03pm
07/09/2020	3:00am
07/09/2020	6:06am
07/09/2020	10:59pm
07/09/2020	10:59pm
07/09/2020	10:59pm
07/10/2020	3:59am
07/10/2020	10:02am
07/10/2020	10:18am
07/10/2020	12:42pm
07/13/2020	4:17am
07/13/2020	9:59am
07/13/2020	9:41pm
07/14/2020	4:19am
07/14/2020	8:35pm
07/15/2020	5:19am
07/16/2020	10:59pm
07/16/2020	10:59pm
07/23/2020	11:19pm
