cast_date	cast_time
05/10/2020	8:05pm
05/10/2020	9:32pm
05/10/2020	11:58pm
05/11/2020	2:31am
05/11/2020	3:37am
05/11/2020	3:38am
05/11/2020	4:15am
05/11/2020	4:26am
05/11/2020	4:49am
05/11/2020	6:53am
05/11/2020	8:54am
05/11/2020	9:54am
05/11/2020	10:48am
05/11/2020	2:01pm
05/11/2020	2:10pm
05/11/2020	2:44pm
05/11/2020	7:07pm
05/11/2020	8:42pm
05/12/2020	12:42am
05/12/2020	7:57am
05/12/2020	9:21am
05/12/2020	9:28am
05/12/2020	3:28pm
05/13/2020	7:03am
05/13/2020	1:28pm
05/14/2020	10:31am
05/15/2020	1:39pm
