cast_date	cast_time
07/26/2020	8:01pm
07/27/2020	1:39am
07/27/2020	2:44am
07/27/2020	3:48am
07/27/2020	3:52am
07/27/2020	4:00am
07/27/2020	4:16am
07/27/2020	4:25am
07/27/2020	4:43am
07/27/2020	5:26am
07/27/2020	6:09am
07/27/2020	6:37am
07/27/2020	6:57am
07/27/2020	9:58am
07/27/2020	9:59am
07/27/2020	10:05am
07/27/2020	11:18am
07/27/2020	12:37pm
07/27/2020	3:47pm
07/27/2020	5:27pm
07/27/2020	5:57pm
07/27/2020	7:32pm
07/28/2020	2:37pm
07/29/2020	3:16am
07/29/2020	3:44am
07/29/2020	4:26am
07/30/2020	7:51pm
07/30/2020	10:59pm
07/31/2020	9:09am
08/07/2020	9:59am
08/07/2020	10:29am
