cast_date	cast_time
05/27/2020	8:21pm
05/27/2020	8:43pm
05/27/2020	8:47pm
05/27/2020	8:48pm
05/27/2020	9:17pm
05/27/2020	9:45pm
05/27/2020	11:36pm
05/28/2020	12:45am
05/28/2020	2:48am
05/28/2020	3:31am
05/28/2020	3:55am
05/28/2020	4:10am
05/28/2020	4:11am
05/28/2020	4:16am
05/28/2020	5:29am
05/28/2020	5:31am
05/28/2020	5:55am
05/28/2020	7:33am
05/28/2020	7:51am
05/28/2020	8:19am
05/28/2020	8:20am
05/28/2020	8:38am
05/28/2020	12:08pm
05/28/2020	12:50pm
05/28/2020	2:38pm
05/28/2020	3:58pm
05/28/2020	4:32pm
05/28/2020	7:29pm
05/28/2020	7:37pm
05/28/2020	7:40pm
05/29/2020	3:28am
05/29/2020	4:16am
05/29/2020	5:53am
05/29/2020	6:03am
05/29/2020	9:04am
05/29/2020	11:30am
05/29/2020	2:12pm
05/30/2020	8:49am
06/02/2020	3:29am
06/02/2020	11:37am
06/02/2020	8:27pm
06/02/2020	11:54pm
06/03/2020	7:46am
06/08/2020	5:47pm
