cast_date	cast_time
05/25/2020	8:25pm
05/25/2020	9:53pm
05/25/2020	11:09pm
05/26/2020	12:22am
05/26/2020	1:34am
05/26/2020	3:51am
05/26/2020	4:53am
05/26/2020	5:21am
05/26/2020	5:35am
05/26/2020	5:58am
05/26/2020	6:13am
05/26/2020	8:04am
05/26/2020	8:15am
05/26/2020	8:31am
05/26/2020	9:24am
05/26/2020	9:43am
05/26/2020	8:25pm
05/26/2020	9:35pm
05/27/2020	2:47am
05/27/2020	4:48am
05/27/2020	7:26am
05/28/2020	7:03am
05/28/2020	11:21pm
05/29/2020	6:37am
05/29/2020	9:24am
06/01/2020	10:22am
06/01/2020	1:03pm
06/01/2020	11:07pm
06/02/2020	11:37am
06/03/2020	7:55am
06/03/2020	9:38am
