cast_date	cast_time
06/25/2020	8:15pm
06/25/2020	8:20pm
06/25/2020	9:09pm
06/26/2020	1:30am
06/26/2020	1:49am
06/26/2020	2:19am
06/26/2020	2:44am
06/26/2020	2:57am
06/26/2020	3:46am
06/26/2020	4:02am
06/26/2020	4:28am
06/26/2020	5:34am
06/26/2020	6:04am
06/26/2020	6:09am
06/26/2020	7:22am
06/26/2020	9:04am
06/26/2020	9:41am
06/26/2020	10:26am
06/26/2020	11:52am
06/26/2020	11:52am
06/26/2020	11:58am
06/26/2020	12:46pm
06/26/2020	12:46pm
06/26/2020	1:39pm
06/26/2020	5:22pm
06/27/2020	4:36pm
06/28/2020	8:29pm
06/28/2020	8:39pm
06/29/2020	4:53am
06/29/2020	7:20am
06/29/2020	8:49am
06/29/2020	9:11am
06/29/2020	10:37am
06/29/2020	10:59am
06/29/2020	5:00pm
06/30/2020	3:21am
06/30/2020	9:45pm
06/30/2020	10:59pm
06/30/2020	10:59pm
07/01/2020	9:59am
07/02/2020	10:59pm
07/03/2020	10:29am
