cast_date	cast_time
05/11/2020	8:46pm
05/11/2020	9:31pm
05/11/2020	9:44pm
05/11/2020	11:40pm
05/12/2020	2:23am
05/12/2020	2:59am
05/12/2020	4:00am
05/12/2020	4:14am
05/12/2020	5:32am
05/12/2020	6:17am
05/12/2020	7:36am
05/12/2020	8:27am
05/12/2020	9:34am
05/12/2020	10:29am
05/12/2020	11:55am
05/12/2020	12:26pm
05/12/2020	12:33pm
05/12/2020	12:52pm
05/12/2020	12:58pm
05/12/2020	1:26pm
05/12/2020	4:00pm
05/13/2020	8:27am
05/13/2020	9:27am
05/13/2020	9:42am
05/13/2020	10:49am
05/14/2020	9:59am
05/15/2020	5:29am
