cast_date	cast_time
07/13/2020	9:16pm
07/13/2020	9:49pm
07/13/2020	11:22pm
07/13/2020	11:41pm
07/13/2020	11:48pm
07/14/2020	2:47am
07/14/2020	3:12am
07/14/2020	3:28am
07/14/2020	3:43am
07/14/2020	3:56am
07/14/2020	4:11am
07/14/2020	4:30am
07/14/2020	4:32am
07/14/2020	4:36am
07/14/2020	6:14am
07/14/2020	6:49am
07/14/2020	7:24am
07/14/2020	9:17am
07/14/2020	11:20am
07/14/2020	11:57am
07/14/2020	2:43pm
07/14/2020	4:59pm
07/14/2020	9:24pm
07/14/2020	10:38pm
07/15/2020	4:23am
07/16/2020	10:59pm
07/19/2020	7:24pm
07/20/2020	4:02am
07/20/2020	2:59pm
