cast_date	cast_time
07/19/2020	8:16pm
07/19/2020	8:16pm
07/19/2020	8:16pm
07/19/2020	10:35pm
07/19/2020	11:22pm
07/20/2020	1:33am
07/20/2020	1:51am
07/20/2020	1:58am
07/20/2020	2:36am
07/20/2020	3:28am
07/20/2020	3:56am
07/20/2020	4:10am
07/20/2020	4:22am
07/20/2020	5:45am
07/20/2020	7:49am
07/20/2020	9:07am
07/20/2020	10:03am
07/20/2020	10:15am
07/20/2020	12:44pm
07/20/2020	1:18pm
07/20/2020	1:49pm
07/20/2020	3:13pm
07/20/2020	3:38pm
07/20/2020	6:36pm
07/21/2020	1:37am
07/21/2020	3:41am
07/21/2020	10:42am
07/21/2020	3:52pm
07/21/2020	5:04pm
07/22/2020	4:29am
07/22/2020	9:54am
07/22/2020	10:40am
07/23/2020	12:56pm
07/23/2020	8:42pm
07/23/2020	10:59pm
07/23/2020	10:59pm
07/23/2020	10:59pm
07/23/2020	10:59pm
07/23/2020	10:59pm
07/24/2020	11:29am
07/24/2020	11:38am
