cast_date	cast_time
05/14/2020	8:30pm
05/14/2020	8:35pm
05/15/2020	1:07am
05/15/2020	1:38am
05/15/2020	1:43am
05/15/2020	2:41am
05/15/2020	2:54am
05/15/2020	3:01am
05/15/2020	3:21am
05/15/2020	3:49am
05/15/2020	3:53am
05/15/2020	3:54am
05/15/2020	3:59am
05/15/2020	4:07am
05/15/2020	4:28am
05/15/2020	5:03am
05/15/2020	5:13am
05/15/2020	5:14am
05/15/2020	6:20am
05/15/2020	6:23am
05/15/2020	6:28am
05/15/2020	7:47am
05/15/2020	8:22am
05/15/2020	10:16am
05/15/2020	10:39am
05/15/2020	12:46pm
05/15/2020	3:52pm
05/15/2020	4:17pm
05/15/2020	4:18pm
05/16/2020	1:25pm
05/17/2020	2:55pm
05/18/2020	3:59am
05/18/2020	4:00am
05/18/2020	4:00am
05/18/2020	4:31am
05/18/2020	7:55am
05/18/2020	9:43pm
