cast_date	cast_time
06/11/2020	8:54pm
06/11/2020	11:46pm
06/12/2020	1:17am
06/12/2020	1:52am
06/12/2020	2:35am
06/12/2020	2:53am
06/12/2020	3:29am
06/12/2020	3:57am
06/12/2020	4:37am
06/12/2020	5:03am
06/12/2020	5:34am
06/12/2020	6:19am
06/12/2020	7:40am
06/12/2020	8:19am
06/12/2020	9:56am
06/12/2020	11:40am
06/12/2020	2:50pm
06/13/2020	3:59am
06/13/2020	3:00pm
06/15/2020	5:16am
06/15/2020	10:29am
06/15/2020	11:55am
06/17/2020	1:44am
06/17/2020	4:29am
06/17/2020	6:45am
06/17/2020	3:46pm
06/18/2020	1:34am
06/18/2020	9:02am
06/18/2020	1:28pm
