cast_date	cast_time
05/18/2020	8:41pm
05/18/2020	8:46pm
05/18/2020	8:54pm
05/18/2020	10:12pm
05/19/2020	12:01am
05/19/2020	12:30am
05/19/2020	12:36am
05/19/2020	1:42am
05/19/2020	2:13am
05/19/2020	2:26am
05/19/2020	2:44am
05/19/2020	2:55am
05/19/2020	3:10am
05/19/2020	3:26am
05/19/2020	4:24am
05/19/2020	4:30am
05/19/2020	4:40am
05/19/2020	4:45am
05/19/2020	5:01am
05/19/2020	6:26am
05/19/2020	6:33am
05/19/2020	10:47am
05/19/2020	10:54am
05/19/2020	11:30am
05/19/2020	12:48pm
05/19/2020	1:30pm
05/20/2020	1:56am
05/20/2020	3:47am
05/20/2020	12:21pm
05/21/2020	2:57am
05/21/2020	10:35am
05/21/2020	2:52pm
05/21/2020	8:09pm
05/22/2020	4:04am
05/25/2020	4:53am
05/25/2020	12:30pm
