cast_date	cast_time
05/20/2020	8:11pm
05/20/2020	8:16pm
05/20/2020	8:29pm
05/20/2020	9:57pm
05/20/2020	10:47pm
05/20/2020	10:56pm
05/20/2020	11:47pm
05/21/2020	12:31am
05/21/2020	1:19am
05/21/2020	1:27am
05/21/2020	1:35am
05/21/2020	2:29am
05/21/2020	3:05am
05/21/2020	3:06am
05/21/2020	3:13am
05/21/2020	3:59am
05/21/2020	4:21am
05/21/2020	4:29am
05/21/2020	4:45am
05/21/2020	4:59am
05/21/2020	5:02am
05/21/2020	5:05am
05/21/2020	5:32am
05/21/2020	6:11am
05/21/2020	7:22am
05/21/2020	7:26am
05/21/2020	8:04am
05/21/2020	8:45am
05/21/2020	8:57am
05/21/2020	9:55am
05/21/2020	10:08am
05/21/2020	10:16am
05/21/2020	10:17am
05/21/2020	10:56am
05/21/2020	10:58am
05/21/2020	11:44am
05/21/2020	12:13pm
05/21/2020	12:35pm
05/21/2020	12:44pm
05/21/2020	1:07pm
05/21/2020	1:08pm
05/21/2020	2:23pm
05/21/2020	2:39pm
05/21/2020	2:54pm
05/21/2020	4:11pm
05/21/2020	4:50pm
05/21/2020	10:03pm
05/22/2020	12:10am
05/22/2020	12:11am
05/22/2020	12:19am
05/22/2020	4:31am
05/22/2020	5:29am
05/22/2020	8:00am
05/22/2020	9:05am
05/22/2020	9:08am
05/22/2020	9:18am
05/22/2020	9:30am
05/22/2020	10:54am
05/22/2020	5:04pm
05/22/2020	6:12pm
05/24/2020	4:49am
05/24/2020	4:14pm
05/24/2020	8:47pm
05/24/2020	9:41pm
05/25/2020	12:52am
05/25/2020	4:23am
05/25/2020	5:11am
05/27/2020	4:29am
05/28/2020	1:59pm
05/29/2020	3:29am
