cast_date	cast_time
09/14/2020	2:14am
09/14/2020	2:33am
09/14/2020	3:14am
09/14/2020	3:50am
09/14/2020	4:16am
09/14/2020	4:39am
09/14/2020	6:27am
09/14/2020	6:45am
09/14/2020	7:29am
09/14/2020	7:31am
09/14/2020	8:55am
09/14/2020	10:01am
09/14/2020	2:25pm
09/15/2020	3:46am
09/15/2020	6:38am
09/15/2020	12:04pm
09/15/2020	2:34pm
09/15/2020	2:58pm
09/15/2020	6:10pm
09/15/2020	9:23pm
09/16/2020	3:37am
09/16/2020	5:59am
09/16/2020	2:22pm
09/16/2020	11:11pm
09/17/2020	5:44am
09/17/2020	10:03am
09/18/2020	9:46am
09/18/2020	1:02pm
09/18/2020	1:36pm
09/18/2020	1:51pm
09/18/2020	1:58pm
09/20/2020	9:07pm
