cast_date	cast_time
05/13/2020	12:52am
05/13/2020	1:30am
05/13/2020	1:57am
05/13/2020	2:17am
05/13/2020	3:18am
05/13/2020	3:21am
05/13/2020	3:26am
05/13/2020	3:37am
05/13/2020	3:43am
05/13/2020	3:57am
05/13/2020	4:17am
05/13/2020	4:28am
05/13/2020	5:42am
05/13/2020	5:53am
05/13/2020	5:57am
05/13/2020	6:10am
05/13/2020	6:34am
05/13/2020	7:27am
05/13/2020	9:27am
05/13/2020	10:19am
05/13/2020	10:32am
05/13/2020	12:17pm
05/13/2020	12:19pm
05/13/2020	12:22pm
05/13/2020	1:03pm
05/13/2020	3:29pm
05/13/2020	3:55pm
05/14/2020	2:43am
05/15/2020	1:29am
05/16/2020	5:48am
05/16/2020	1:30pm
05/18/2020	11:51am
05/21/2020	9:05pm
