cast_date	cast_time
06/07/2020	11:47pm
06/08/2020	1:01am
06/08/2020	2:13am
06/08/2020	2:39am
06/08/2020	2:48am
06/08/2020	2:49am
06/08/2020	3:26am
06/08/2020	3:34am
06/08/2020	5:53am
06/08/2020	6:17am
06/08/2020	9:23am
06/08/2020	10:08am
06/08/2020	10:50am
06/08/2020	11:36am
06/08/2020	12:57pm
06/08/2020	3:36pm
06/08/2020	10:15pm
06/09/2020	1:39am
06/09/2020	1:55am
06/09/2020	4:30am
06/09/2020	5:37am
06/09/2020	6:44am
06/09/2020	9:59am
06/09/2020	10:11am
06/09/2020	1:19pm
06/10/2020	6:03am
06/10/2020	7:17am
06/10/2020	1:21pm
06/11/2020	9:13am
06/11/2020	12:16pm
06/12/2020	3:59am
06/12/2020	3:59am
06/12/2020	9:57am
06/12/2020	10:10am
